origin_country,total_flights,avg_velocity,on_ground
Algeria,15,193.66666666666666,1
Argentina,19,148.58105263157896,3
Armenia,1,262.28,0
Australia,55,109.03166666666667,16
Austria,107,152.93383177570092,10
Azerbaijan,4,205.3125,0
Bahrain,12,232.23000000000002,0
Bangladesh,13,140.90076923076924,3
Belarus,3,186.01999999999998,0
Belgium,30,150.68233333333333,9
Bolivia,1,246.29,0
Bosnia and Herzegovina,1,97.32,0
Brazil,142,168.02267605633804,7
Brunei Darussalam,1,260.33,0
Bulgaria,2,228.7,0
Cambodia,3,190.29333333333332,0
Canada,223,120.70636771300448,73
Chile,26,151.4780769230769,4
China,240,199.66483333333332,21
Colombia,20,112.851,5
Croatia,1,169.85,0
Cyprus,1,109.43,0
Czech Republic,26,112.88576923076923,4
Denmark,19,183.38,1
Ecuador,2,126.82,0
Egypt,20,179.661,0
Estonia,8,58.03875,6
Ethiopia,9,175.42222222222225,2
Finland,37,145.03675675675674,7
France,139,158.84273381294963,11
Georgia,3,85.62333333333333,2
Germany,306,136.98039215686273,28
Greece,39,175.51871794871795,2
Guatemala,12,65.10833333333333,1
Hungary,38,192.20473684210526,1
Iceland,17,179.70294117647057,2
India,211,169.29601895734598,21
Indonesia,43,209.55093023255816,0
Ireland,206,193.55917475728157,10
Islamic Republic of Iran,2,242.135,0
Israel,24,184.6833333333333,4
Italy,24,97.59916666666668,1
Japan,112,184.1186607142857,11
Jordan,7,218.74857142857144,0
Kazakhstan,2,202.305,0
Kenya,3,184.38,0
Kingdom of the Netherlands,74,171.67108108108107,9
Kuwait,5,223.59,0
Lao People's Democratic Republic,1,66.88,0
Latvia,11,149.40363636363637,2
Lebanon,2,264.215,0
Libyan Arab Jamahiriya,3,209.72,0
Lithuania,8,129.4725,2
Luxembourg,20,173.745,3
Malaysia,54,198.38666666666666,1
Malta,110,188.46818181818182,7
Mexico,59,187.7172881355932,5
Montenegro,1,209.81,0
Morocco,28,209.00214285714284,0
Myanmar,7,98.12428571428572,3
Nepal,2,197.985,0
New Zealand,6,140.60666666666665,1
Nigeria,1,5.4,1
Norway,43,151.96046511627907,2
Oman,3,121.33666666666666,0
Pakistan,1,224.34,0
Panama,9,219.28222222222223,0
Paraguay,1,77.49,0
Philippines,27,134.87333333333333,6
Poland,78,183.42423076923077,2
Portugal,53,186.9098113207547,3
Qatar,68,186.45926470588233,6
Republic of Korea,97,195.6981443298969,5
Republic of Moldova,5,215.456,0
Romania,9,166.44222222222223,0
Russian Federation,36,199.60666666666668,2
San Marino,5,244.942,0
Saudi Arabia,30,204.02866666666665,1
Senegal,2,99.39,0
Serbia,14,173.82785714285714,0
Singapore,39,222.15820512820514,1
Slovakia,5,108.814,1
Slovenia,2,137.77,0
South Africa,27,153.5085185185185,0
Spain,141,162.13014184397161,12
Sri Lanka,2,174.84,0
Sweden,61,162.8760655737705,8
Switzerland,83,144.10072289156628,21
Syrian Arab Republic,1,205.25,0
Taiwan,62,201.01145161290322,4
Thailand,74,191.82567567567568,3
Trinidad and Tobago,1,259.11,0
Tunisia,5,261.722,0
Turkey,231,194.2199567099567,19
Ukraine,4,187.05,0
United Arab Emirates,103,191.57194174757282,3
United Kingdom,309,174.01265372168285,27
United States,2968,142.76728682170543,289
Uzbekistan,4,150.79,0
Viet Nam,14,227.00285714285715,1
